web-scraper-order,web-scraper-start-url,fandom,relationship,title,datetime,kudos,rating,warnings,tags
"1715628003-11","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","College to Life","","21","","",""
"1715628003-12","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","College to Life","","","Not Rated","",""
"1715628003-13","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","College to Life","","","","No Archive Warnings Apply",""
"1715628003-14","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The Sea Captain's House - Part 19: Christmas One-Shot 2048","29 Dec 2022","","","",""
"1715628003-15","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The Sea Captain's House - Part 19: Christmas One-Shot 2048","","20","","",""
"1715628003-16","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The Sea Captain's House - Part 19: Christmas One-Shot 2048","","","General Audiences","",""
"1715628003-17","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The Sea Captain's House - Part 19: Christmas One-Shot 2048","","","","No Archive Warnings Apply",""
"1715628003-18","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The Sea Captain's House - Part 10: FAQ & Info","28 Oct 2018","","","",""
"1715628003-19","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The Sea Captain's House - Part 10: FAQ & Info","","20","","",""
"1715628003-20","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The Sea Captain's House - Part 10: FAQ & Info","","","Mature","",""
"1715628003-21","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The Sea Captain's House - Part 10: FAQ & Info","","","","No Archive Warnings Apply",""
"1715628003-22","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Depths of despair","17 Jun 2016","","","",""
"1715628003-23","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Depths of despair","","20","","",""
"1715628003-24","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Depths of despair","","","Mature","",""
"1715628003-25","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","Depths of despair","","","","No Archive Warnings Apply",""
"1715628003-26","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Krashlyn - Fandom","Ashlyn Harris/Ali Krieger","how to host a murder","22 Jun 2016","","","",""
"1715628003-27","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Krashlyn - Fandom","Ashlyn Harris/Ali Krieger","how to host a murder","","20","","",""
"1715628003-28","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Krashlyn - Fandom","Ashlyn Harris/Ali Krieger","how to host a murder","","","Not Rated","",""
"1715628003-29","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Krashlyn - Fandom","Ashlyn Harris/Ali Krieger","how to host a murder","","","","Creator Chose Not To Use Archive Warnings",""
"1715628003-30","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","taking a break...","09 Jun 2015","","","",""
"1715628003-31","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","taking a break...","","20","","",""
"1715628003-32","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","taking a break...","","","General Audiences","",""
"1715628003-33","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","taking a break...","","","","Creator Chose Not To Use Archive Warnings",""
"1715628003-34","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","taking a break...","","","","No Archive Warnings Apply",""
"1715628003-35","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The proposition","17 May 2015","","","",""
"1715628003-36","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The proposition","","20","","",""
"1715628003-37","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The proposition","","","Not Rated","",""
"1715628003-38","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The proposition","","","","Creator Chose Not To Use Archive Warnings",""
"1715628003-39","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The A-Team (Original Version)","31 Jan 2022","","","",""
"1715628003-40","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The A-Team (Original Version)","","19","","",""
"1715628003-41","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The A-Team (Original Version)","","","Explicit","",""
"1715628003-42","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","Women's Association Football | Women's Soccer RPF","Ashlyn Harris/Ali Krieger","The A-Team (Original Version)","","","","Graphic Depictions Of Violence",""
"1715628003-43","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Servando Carrasco/Alex Morgan","The Player and The Freckled Girl","02 Mar 2021","","","",""
"1715628003-44","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Servando Carrasco/Alex Morgan","The Player and The Freckled Girl","","19","","",""
"1715628003-45","https://archiveofourown.org/tags/Ashlyn%20Harris*s*Ali%20Krieger/works?commit=Sort+and+Filter&page=50&work_search%5Bcomplete%5D=&work_search%5Bcrossover%5D=&work_search%5Bdate_from%5D=&work_search%5Bdate_to%5D=&work_search%5Bexcluded_tag_names%5D=&work_search%5Blanguage_id%5D=&work_search%5Bother_tag_names%5D=&work_search%5Bquery%5D=&work_search%5Bsort_column%5D=kudos_count&work_search%5Bwords_from%5D=&work_search%5Bwords_to%5D=","USWNT - Fandom","Servando Carrasco/Alex Morgan","The Player and The Freckled Girl","","","Mature","",""
